Investor,Count
MMC Ventures,1
Unilever Ventures,1
WRVI Capital,1
Francisco Partners,1
Wellington Management,1
SCB 10X,1
Teamworthy Ventures,1
Krungsri Finnovate,1
eWTP Capital,1
C5 Capital,1
Hemisphere Ventures,1
The Venture Collective,1
Bojiang Capital,1
Hongdao Capital,1
Mobai Capital,1
Qualgro,1
"B Capital Group,",1
GE Ventures,1
McKesson Ventures,1
Hundreds Capital,1
Yinhong Equity Investment Fund,1
Summerhill Venture Partners,1
Partners Investment,1
Shenzhen Qianhe Capital Management Co.,1
U.S.-China Green Fund,1
V Star Capital,1
Haitong Leading Capital Management,1
China Investment Corporation,1
Silicon Valley Bank,1
European Founders Fund,1
Innova Capital - FIP,1
3G Capital Management,1
One Luxury Group,1
China Broadband Capital,1
Prometheus Capital,1
JD Capital Management,1
SDIC Innovation Investment Management,1
Shang Qi Capital,1
GCP Capital Partners,1
Founder H Fund,1
SBI Investment Korea,1
Richland Equities,1
China Everbright Limited,1
iFLYTEK,1
Georgian Co-Investment Fund,1
iTech Capital,1
Galaxy Digital,1
UBS Asset Management,1
Astanor Ventures,1
BOC International,1
TopoScend Capital,1
Hongxiu VC,1
China Prosperity Capital,1
TAL Education Group,1
Legend Star,1
Mirae Asset Capital,1
Maverick Ventures Israel,1
	T. Rowe Price,1
VentureTech,1
Cocnord Health Partners,1
Future Perfect Ventures,1
Alliance Consumer Growth,1
Imaginary Ventures,1
Microsoft ScaleUp,1
East Ventures,1
Expedia Inc.,1
CPP Investment Board,1
Unternehmertum Venture Capital,1
ConsenSys Ventures,1
PUC,1
Cambridge Innovation Capital,1
LGT Capital Partners,1
Escala Capital,1
Grayhawk Capital,1
Iconiq Capital,1
Brookfield Asset Management,1
Atlantic Food Labs,1
Standard Crypto,1
Uniion Square Ventures,1
Lightspeed Venture Capital,1
BMO Capital,1
Schonfeld Strategic Advisors,1
Green Visor Capital,1
Tiger Brokers,1
Bnk To The Future,1
Trammell Ventures,1
Google Capital,1
Alibaba Pictures Group,1
Puluo Capital,1
Kenetic Capital,1
and Sequoia Capital China,1
New Leaf Venture Partners,1
Charter Venture Capital,1
Casa Verde Capital,1
Gron Ventures,1
Thrity Five Ventures,1
Webb Investment Network,1
Valor Equity Partners,1
